province,tc,biomass,co2,year
Aceh,30,35,40,2014
Aceh,25,30,38,2015
Aceh,11,12,13,2016
Aceh,20,30,40,2017
Aceh,10,25,45,2018
Aceh,26,27,28,2019
Bali,11,12,13,2017
Bali,25,30,48,2018
Bali,30,35,40,2019
Bangka Belitung,18,35,44,2017
Bangka Belitung,19,22,35,2018
Bangka Belitung,23,32,34,2019
Indonesia,744917,179.6,329.27,2001
Indonesia,856270,201.96,370.26,2002
Indonesia,545528,129.82,238.01,2003
Indonesia,1291467,299.21,548.56,2004
Indonesia,1183802,271.99,498.66,2005
Indonesia,1434724,321.21,588.88,2006
Indonesia,1389495,302.03,553.71,2007
Indonesia,1398066,314.67,576.89,2008
Indonesia,1947257,434.22,796.08,2009
Indonesia,1280641,294.13,539.23,2010
Indonesia,1545060,355.29,651.37,2011
Indonesia,2262504,508.36,931.99,2012
Indonesia,1140308,262.22,480.74,2013
Indonesia,1896006,416.17,762.98,2014
Indonesia,1747954,386.32,708.26,2015
Indonesia,2424326,508.15,931.61,2016
Indonesia,1301946,279.22,511.91,2017
Indonesia,1219663,261.83,480.02,2018
